SETPOINT,ALPHA,BETA,TAS,HOOP_ALPHA,HOOP_BETA,FLT_OMEGA,MT_OMEGA,DWELL_TIME,MAX_TRAVERSE_TIME
1,0,-90,0,0,0,0,0,10,6
2,0,-75,0,0,0,0,0,10,6
3,0,-60,0,0,0,0,0,10,6
4,0,-45,0,0,0,0,0,10,6
5,0,-30,0,0,0,0,0,10,6
6,0,-15,0,0,0,0,0,10,6
7,0,0,0,0,0,0,0,10,6
8,0,15,0,0,0,0,0,10,6
9,0,30,0,0,0,0,0,10,6
10,0,45,0,0,0,0,0,10,6
11,0,60,0,0,0,0,0,10,6
12,0,75,0,0,0,0,0,10,6
13,0,90,0,0,0,0,0,10,6
14,-135,-45,12,0,-30,0,0,10,6
15,-135,-45,12,0,-20,0,0,10,6
16,-135,-45,12,0,-10,0,0,10,6
17,-135,-45,12,0,0,0,0,10,6
18,-135,-45,12,0,10,0,0,10,6
19,-135,-45,12,0,20,0,0,10,6
20,-135,-45,12,0,30,0,0,10,6
21,-135,0,12,0,-30,0,0,10,6
22,-135,0,12,0,-20,0,0,10,6
23,-135,0,12,0,-10,0,0,10,6
24,-135,0,12,0,0,0,0,10,6
25,-135,0,12,0,10,0,0,10,6
26,-135,0,12,0,20,0,0,10,6
27,-135,0,12,0,30,0,0,10,6
28,-135,45,12,0,-30,0,0,10,6
29,-135,45,12,0,-20,0,0,10,6
30,-135,45,12,0,-10,0,0,10,6
31,-135,45,12,0,0,0,0,10,6
32,-135,45,12,0,10,0,0,10,6
33,-135,45,12,0,20,0,0,10,6
34,-135,45,12,0,30,0,0,10,6
35,-90,-30,12,0,-30,0,0,10,6
36,-90,-30,12,0,-20,0,0,10,6
37,-90,-30,12,0,-10,0,0,10,6
38,-90,-30,12,0,0,0,0,10,6
39,-90,-30,12,0,10,0,0,10,6
40,-90,-30,12,0,20,0,0,10,6
41,-90,-30,12,0,30,0,0,10,6
42,-90,0,12,0,-30,0,0,10,6
43,-90,0,12,0,-20,0,0,10,6
44,-90,0,12,0,-10,0,0,10,6
45,-90,0,12,0,0,0,0,10,6
46,-90,0,12,0,10,0,0,10,6
47,-90,0,12,0,20,0,0,10,6
48,-90,0,12,0,30,0,0,10,6
49,-90,30,12,0,-30,0,0,10,6
50,-90,30,12,0,-20,0,0,10,6
51,-90,30,12,0,-10,0,0,10,6
52,-90,30,12,0,0,0,0,10,6
53,-90,30,12,0,10,0,0,10,6
54,-90,30,12,0,20,0,0,10,6
55,-90,30,12,0,30,0,0,10,6
56,-75,0,12,0,-30,0,0,10,6
57,-75,0,12,0,-20,0,0,10,6
58,-75,0,12,0,-10,0,0,10,6
59,-75,0,12,0,0,0,0,10,6
60,-75,0,12,0,10,0,0,10,6
61,-75,0,12,0,20,0,0,10,6
62,-75,0,12,0,30,0,0,10,6
63,-60,-90,12,0,-30,0,0,10,6
64,-60,-90,12,0,-20,0,0,10,6
65,-60,-90,12,0,-10,0,0,10,6
66,-60,-90,12,0,0,0,0,10,6
67,-60,-90,12,0,10,0,0,10,6
68,-60,-90,12,0,20,0,0,10,6
69,-60,-90,12,0,30,0,0,10,6
70,-60,-45,12,0,-30,0,0,10,6
71,-60,-45,12,0,-20,0,0,10,6
72,-60,-45,12,0,-10,0,0,10,6
73,-60,-45,12,0,0,0,0,10,6
74,-60,-45,12,0,10,0,0,10,6
75,-60,-45,12,0,20,0,0,10,6
76,-60,-45,12,0,30,0,0,10,6
77,-60,0,12,0,-30,0,0,10,6
78,-60,0,12,0,-20,0,0,10,6
79,-60,0,12,0,-10,0,0,10,6
80,-60,0,12,0,0,0,0,10,6
81,-60,0,12,0,10,0,0,10,6
82,-60,0,12,0,20,0,0,10,6
83,-60,0,12,0,30,0,0,10,6
84,-60,45,12,0,-30,0,0,10,6
85,-60,45,12,0,-20,0,0,10,6
86,-60,45,12,0,-10,0,0,10,6
87,-60,45,12,0,0,0,0,10,6
88,-60,45,12,0,10,0,0,10,6
89,-60,45,12,0,20,0,0,10,6
90,-60,45,12,0,30,0,0,10,6
91,-60,90,12,0,-30,0,0,10,6
92,-60,90,12,0,-20,0,0,10,6
93,-60,90,12,0,-10,0,0,10,6
94,-60,90,12,0,0,0,0,10,6
95,-60,90,12,0,10,0,0,10,6
96,-60,90,12,0,20,0,0,10,6
97,-60,90,12,0,30,0,0,10,6
98,-45,0,12,0,-30,0,0,10,6
99,-45,0,12,0,-20,0,0,10,6
100,-45,0,12,0,-10,0,0,10,6
101,-45,0,12,0,0,0,0,10,6
102,-45,0,12,0,10,0,0,10,6
103,-45,0,12,0,20,0,0,10,6
104,-45,0,12,0,30,0,0,10,6
105,-30,-90,12,0,-30,0,0,10,6
106,-30,-90,12,0,-20,0,0,10,6
107,-30,-90,12,0,-10,0,0,10,6
108,-30,-90,12,0,0,0,0,10,6
109,-30,-90,12,0,10,0,0,10,6
110,-30,-90,12,0,20,0,0,10,6
111,-30,-90,12,0,30,0,0,10,6
112,-30,-60,12,0,-30,0,0,10,6
113,-30,-60,12,0,-20,0,0,10,6
114,-30,-60,12,0,-10,0,0,10,6
115,-30,-60,12,0,0,0,0,10,6
116,-30,-60,12,0,10,0,0,10,6
117,-30,-60,12,0,20,0,0,10,6
118,-30,-60,12,0,30,0,0,10,6
119,-30,-30,12,0,-30,0,0,10,6
120,-30,-30,12,0,-20,0,0,10,6
121,-30,-30,12,0,-10,0,0,10,6
122,-30,-30,12,0,0,0,0,10,6
123,-30,-30,12,0,10,0,0,10,6
124,-30,-30,12,0,20,0,0,10,6
125,-30,-30,12,0,30,0,0,10,6
126,-30,0,12,0,-30,0,0,10,6
127,-30,0,12,0,-20,0,0,10,6
128,-30,0,12,0,-10,0,0,10,6
129,-30,0,12,0,0,0,0,10,6
130,-30,0,12,0,10,0,0,10,6
131,-30,0,12,0,20,0,0,10,6
132,-30,0,12,0,30,0,0,10,6
133,-30,30,12,0,-30,0,0,10,6
134,-30,30,12,0,-20,0,0,10,6
135,-30,30,12,0,-10,0,0,10,6
136,-30,30,12,0,0,0,0,10,6
137,-30,30,12,0,10,0,0,10,6
138,-30,30,12,0,20,0,0,10,6
139,-30,30,12,0,30,0,0,10,6
140,-30,60,12,0,-30,0,0,10,6
141,-30,60,12,0,-20,0,0,10,6
142,-30,60,12,0,-10,0,0,10,6
143,-30,60,12,0,0,0,0,10,6
144,-30,60,12,0,10,0,0,10,6
145,-30,60,12,0,20,0,0,10,6
146,-30,60,12,0,30,0,0,10,6
147,-30,90,12,0,-30,0,0,10,6
148,-30,90,12,0,-20,0,0,10,6
149,-30,90,12,0,-10,0,0,10,6
150,-30,90,12,0,0,0,0,10,6
151,-30,90,12,0,10,0,0,10,6
152,-30,90,12,0,20,0,0,10,6
153,-30,90,12,0,30,0,0,10,6
154,-15,-45,12,0,-30,0,0,10,6
155,-15,-45,12,0,-20,0,0,10,6
156,-15,-45,12,0,-10,0,0,10,6
157,-15,-45,12,0,0,0,0,10,6
158,-15,-45,12,0,10,0,0,10,6
159,-15,-45,12,0,20,0,0,10,6
160,-15,-45,12,0,30,0,0,10,6
161,-15,0,12,0,-30,0,0,10,6
162,-15,0,12,0,-20,0,0,10,6
163,-15,0,12,0,-10,0,0,10,6
164,-15,0,12,0,0,0,0,10,6
165,-15,0,12,0,10,0,0,10,6
166,-15,0,12,0,20,0,0,10,6
167,-15,0,12,0,30,0,0,10,6
168,-15,45,12,0,-30,0,0,10,6
169,-15,45,12,0,-20,0,0,10,6
170,-15,45,12,0,-10,0,0,10,6
171,-15,45,12,0,0,0,0,10,6
172,-15,45,12,0,10,0,0,10,6
173,-15,45,12,0,20,0,0,10,6
174,-15,45,12,0,30,0,0,10,6
175,0,-90,12,0,-30,0,0,10,6
176,0,-90,12,0,-20,0,0,10,6
177,0,-90,12,0,-10,0,0,10,6
178,0,-90,12,0,0,0,0,10,6
179,0,-90,12,0,10,0,0,10,6
180,0,-90,12,0,20,0,0,10,6
181,0,-90,12,0,30,0,0,10,6
182,0,-60,12,0,-30,0,0,10,6
183,0,-60,12,0,-20,0,0,10,6
184,0,-60,12,0,-10,0,0,10,6
185,0,-60,12,0,0,0,0,10,6
186,0,-60,12,0,10,0,0,10,6
187,0,-60,12,0,20,0,0,10,6
188,0,-60,12,0,30,0,0,10,6
189,0,-45,12,0,-30,0,0,10,6
190,0,-45,12,0,-20,0,0,10,6
191,0,-45,12,0,-10,0,0,10,6
192,0,-45,12,0,0,0,0,10,6
193,0,-45,12,0,10,0,0,10,6
194,0,-45,12,0,20,0,0,10,6
195,0,-45,12,0,30,0,0,10,6
196,0,-30,12,0,-30,0,0,10,6
197,0,-30,12,0,-20,0,0,10,6
198,0,-30,12,0,-10,0,0,10,6
199,0,-30,12,0,0,0,0,10,6
200,0,-30,12,0,10,0,0,10,6
201,0,-30,12,0,20,0,0,10,6
202,0,-30,12,0,30,0,0,10,6
203,0,-15,12,0,-30,0,0,10,6
204,0,-15,12,0,-20,0,0,10,6
205,0,-15,12,0,-10,0,0,10,6
206,0,-15,12,0,0,0,0,10,6
207,0,-15,12,0,10,0,0,10,6
208,0,-15,12,0,20,0,0,10,6
209,0,-15,12,0,30,0,0,10,6
210,0,0,12,0,-30,0,0,10,6
211,0,0,12,0,-20,0,0,10,6
212,0,0,12,0,-10,0,0,10,6
213,0,0,12,0,0,0,0,10,6
214,0,0,12,0,10,0,0,10,6
215,0,0,12,0,20,0,0,10,6
216,0,0,12,0,30,0,0,10,6
217,0,15,12,0,-30,0,0,10,6
218,0,15,12,0,-20,0,0,10,6
219,0,15,12,0,-10,0,0,10,6
220,0,15,12,0,0,0,0,10,6
221,0,15,12,0,10,0,0,10,6
222,0,15,12,0,20,0,0,10,6
223,0,15,12,0,30,0,0,10,6
224,0,30,12,0,-30,0,0,10,6
225,0,30,12,0,-20,0,0,10,6
226,0,30,12,0,-10,0,0,10,6
227,0,30,12,0,0,0,0,10,6
228,0,30,12,0,10,0,0,10,6
229,0,30,12,0,20,0,0,10,6
230,0,30,12,0,30,0,0,10,6
231,0,45,12,0,-30,0,0,10,6
232,0,45,12,0,-20,0,0,10,6
233,0,45,12,0,-10,0,0,10,6
234,0,45,12,0,0,0,0,10,6
235,0,45,12,0,10,0,0,10,6
236,0,45,12,0,20,0,0,10,6
237,0,45,12,0,30,0,0,10,6
238,0,60,12,0,-30,0,0,10,6
239,0,60,12,0,-20,0,0,10,6
240,0,60,12,0,-10,0,0,10,6
241,0,60,12,0,0,0,0,10,6
242,0,60,12,0,10,0,0,10,6
243,0,60,12,0,20,0,0,10,6
244,0,60,12,0,30,0,0,10,6
245,0,90,12,0,-30,0,0,10,6
246,0,90,12,0,-20,0,0,10,6
247,0,90,12,0,-10,0,0,10,6
248,0,90,12,0,0,0,0,10,6
249,0,90,12,0,10,0,0,10,6
250,0,90,12,0,20,0,0,10,6
251,0,90,12,0,30,0,0,10,6
252,15,-45,12,0,-30,0,0,10,6
253,15,-45,12,0,-20,0,0,10,6
254,15,-45,12,0,-10,0,0,10,6
255,15,-45,12,0,0,0,0,10,6
256,15,-45,12,0,10,0,0,10,6
257,15,-45,12,0,20,0,0,10,6
258,15,-45,12,0,30,0,0,10,6
259,15,0,12,0,-30,0,0,10,6
260,15,0,12,0,-20,0,0,10,6
261,15,0,12,0,-10,0,0,10,6
262,15,0,12,0,0,0,0,10,6
263,15,0,12,0,10,0,0,10,6
264,15,0,12,0,20,0,0,10,6
265,15,0,12,0,30,0,0,10,6
266,15,45,12,0,-30,0,0,10,6
267,15,45,12,0,-20,0,0,10,6
268,15,45,12,0,-10,0,0,10,6
269,15,45,12,0,0,0,0,10,6
270,15,45,12,0,10,0,0,10,6
271,15,45,12,0,20,0,0,10,6
272,15,45,12,0,30,0,0,10,6
273,30,-90,12,0,-30,0,0,10,6
274,30,-90,12,0,-20,0,0,10,6
275,30,-90,12,0,-10,0,0,10,6
276,30,-90,12,0,0,0,0,10,6
277,30,-90,12,0,10,0,0,10,6
278,30,-90,12,0,20,0,0,10,6
279,30,-90,12,0,30,0,0,10,6
280,30,-60,12,0,-30,0,0,10,6
281,30,-60,12,0,-20,0,0,10,6
282,30,-60,12,0,-10,0,0,10,6
283,30,-60,12,0,0,0,0,10,6
284,30,-60,12,0,10,0,0,10,6
285,30,-60,12,0,20,0,0,10,6
286,30,-60,12,0,30,0,0,10,6
287,30,-30,12,0,-30,0,0,10,6
288,30,-30,12,0,-20,0,0,10,6
289,30,-30,12,0,-10,0,0,10,6
290,30,-30,12,0,0,0,0,10,6
291,30,-30,12,0,10,0,0,10,6
292,30,-30,12,0,20,0,0,10,6
293,30,-30,12,0,30,0,0,10,6
294,30,0,12,0,-30,0,0,10,6
295,30,0,12,0,-20,0,0,10,6
296,30,0,12,0,-10,0,0,10,6
297,30,0,12,0,0,0,0,10,6
298,30,0,12,0,10,0,0,10,6
299,30,0,12,0,20,0,0,10,6
300,30,0,12,0,30,0,0,10,6
301,0,-90,0,0,0,0,0,10,6
302,0,-75,0,0,0,0,0,10,6
303,0,-60,0,0,0,0,0,10,6
304,0,-45,0,0,0,0,0,10,6
305,0,-30,0,0,0,0,0,10,6
306,0,-15,0,0,0,0,0,10,6
307,0,0,0,0,0,0,0,10,6
308,0,15,0,0,0,0,0,10,6
309,0,30,0,0,0,0,0,10,6
310,0,45,0,0,0,0,0,10,6
311,0,60,0,0,0,0,0,10,6
312,0,75,0,0,0,0,0,10,6
313,0,90,0,0,0,0,0,10,6
314,30,30,12,0,-30,0,0,10,6
315,30,30,12,0,-20,0,0,10,6
316,30,30,12,0,-10,0,0,10,6
317,30,30,12,0,0,0,0,10,6
318,30,30,12,0,10,0,0,10,6
319,30,30,12,0,20,0,0,10,6
320,30,30,12,0,30,0,0,10,6
321,30,60,12,0,-30,0,0,10,6
322,30,60,12,0,-20,0,0,10,6
323,30,60,12,0,-10,0,0,10,6
324,30,60,12,0,0,0,0,10,6
325,30,60,12,0,10,0,0,10,6
326,30,60,12,0,20,0,0,10,6
327,30,60,12,0,30,0,0,10,6
328,30,90,12,0,-30,0,0,10,6
329,30,90,12,0,-20,0,0,10,6
330,30,90,12,0,-10,0,0,10,6
331,30,90,12,0,0,0,0,10,6
332,30,90,12,0,10,0,0,10,6
333,30,90,12,0,20,0,0,10,6
334,30,90,12,0,30,0,0,10,6
335,45,0,12,0,-30,0,0,10,6
336,45,0,12,0,-20,0,0,10,6
337,45,0,12,0,-10,0,0,10,6
338,45,0,12,0,0,0,0,10,6
339,45,0,12,0,10,0,0,10,6
340,45,0,12,0,20,0,0,10,6
341,45,0,12,0,30,0,0,10,6
342,60,-90,12,0,-30,0,0,10,6
343,60,-90,12,0,-20,0,0,10,6
344,60,-90,12,0,-10,0,0,10,6
345,60,-90,12,0,0,0,0,10,6
346,60,-90,12,0,10,0,0,10,6
347,60,-90,12,0,20,0,0,10,6
348,60,-90,12,0,30,0,0,10,6
349,60,-45,12,0,-30,0,0,10,6
350,60,-45,12,0,-20,0,0,10,6
351,60,-45,12,0,-10,0,0,10,6
352,60,-45,12,0,0,0,0,10,6
353,60,-45,12,0,10,0,0,10,6
354,60,-45,12,0,20,0,0,10,6
355,60,-45,12,0,30,0,0,10,6
356,60,0,12,0,-30,0,0,10,6
357,60,0,12,0,-20,0,0,10,6
358,60,0,12,0,-10,0,0,10,6
359,60,0,12,0,0,0,0,10,6
360,60,0,12,0,10,0,0,10,6
361,60,0,12,0,20,0,0,10,6
362,60,0,12,0,30,0,0,10,6
363,60,45,12,0,-30,0,0,10,6
364,60,45,12,0,-20,0,0,10,6
365,60,45,12,0,-10,0,0,10,6
366,60,45,12,0,0,0,0,10,6
367,60,45,12,0,10,0,0,10,6
368,60,45,12,0,20,0,0,10,6
369,60,45,12,0,30,0,0,10,6
370,60,90,12,0,-30,0,0,10,6
371,60,90,12,0,-20,0,0,10,6
372,60,90,12,0,-10,0,0,10,6
373,60,90,12,0,0,0,0,10,6
374,60,90,12,0,10,0,0,10,6
375,60,90,12,0,20,0,0,10,6
376,60,90,12,0,30,0,0,10,6
377,75,0,12,0,-30,0,0,10,6
378,75,0,12,0,-20,0,0,10,6
379,75,0,12,0,-10,0,0,10,6
380,75,0,12,0,0,0,0,10,6
381,75,0,12,0,10,0,0,10,6
382,75,0,12,0,20,0,0,10,6
383,75,0,12,0,30,0,0,10,6
384,90,-30,12,0,-30,0,0,10,6
385,90,-30,12,0,-20,0,0,10,6
386,90,-30,12,0,-10,0,0,10,6
387,90,-30,12,0,0,0,0,10,6
388,90,-30,12,0,10,0,0,10,6
389,90,-30,12,0,20,0,0,10,6
390,90,-30,12,0,30,0,0,10,6
391,90,0,12,0,-30,0,0,10,6
392,90,0,12,0,-20,0,0,10,6
393,90,0,12,0,-10,0,0,10,6
394,90,0,12,0,0,0,0,10,6
395,90,0,12,0,10,0,0,10,6
396,90,0,12,0,20,0,0,10,6
397,90,0,12,0,30,0,0,10,6
398,90,30,12,0,-30,0,0,10,6
399,90,30,12,0,-20,0,0,10,6
400,90,30,12,0,-10,0,0,10,6
401,90,30,12,0,0,0,0,10,6
402,90,30,12,0,10,0,0,10,6
403,90,30,12,0,20,0,0,10,6
404,90,30,12,0,30,0,0,10,6
405,135,-45,12,0,-30,0,0,10,6
406,135,-45,12,0,-20,0,0,10,6
407,135,-45,12,0,-10,0,0,10,6
408,135,-45,12,0,0,0,0,10,6
409,135,-45,12,0,10,0,0,10,6
410,135,-45,12,0,20,0,0,10,6
411,135,-45,12,0,30,0,0,10,6
412,135,0,12,0,-30,0,0,10,6
413,135,0,12,0,-20,0,0,10,6
414,135,0,12,0,-10,0,0,10,6
415,135,0,12,0,0,0,0,10,6
416,135,0,12,0,10,0,0,10,6
417,135,0,12,0,20,0,0,10,6
418,135,0,12,0,30,0,0,10,6
419,135,45,12,0,-30,0,0,10,6
420,135,45,12,0,-20,0,0,10,6
421,135,45,12,0,-10,0,0,10,6
422,135,45,12,0,0,0,0,10,6
423,135,45,12,0,10,0,0,10,6
424,135,45,12,0,20,0,0,10,6
425,135,45,12,0,30,0,0,10,6
426,180,-45,12,0,-30,0,0,10,6
427,180,-45,12,0,-20,0,0,10,6
428,180,-45,12,0,-10,0,0,10,6
429,180,-45,12,0,0,0,0,10,6
430,180,-45,12,0,10,0,0,10,6
431,180,-45,12,0,20,0,0,10,6
432,180,-45,12,0,30,0,0,10,6
433,180,0,12,0,-30,0,0,10,6
434,180,0,12,0,-20,0,0,10,6
435,180,0,12,0,-10,0,0,10,6
436,180,0,12,0,0,0,0,10,6
437,180,0,12,0,10,0,0,10,6
438,180,0,12,0,20,0,0,10,6
439,180,0,12,0,30,0,0,10,6
440,180,45,12,0,-30,0,0,10,6
441,180,45,12,0,-20,0,0,10,6
442,180,45,12,0,-10,0,0,10,6
443,180,45,12,0,0,0,0,10,6
